id,name,type,priority
1,A BY UNLEASHIA,B2B,Secundario
2,ABIB,B2B,Media
3,AGE-R,B2B,Media
4,ANUA,B2B,Urgente
5,APLB,B2B,Media
6,ARENCIA,B2B,Urgente
7,AROMATICA,B2B,Media
8,AXIS-Y,B2B,Media
9,BAREN,B2B,Media
10,BBLAB,B2B,Media
11,BEAUTY OF JOSEON,B2B,Urgente
12,BEK,B2B,Media
13,BIODANCE,B2B,Urgente
14,BIOHEAL BOH,B2C,Secundario
15,BRINGGREEN,B2C,Secundario
16,CELIMAX,B2B,Urgente
17,CENTELLIAN24,B2B,Secundario
18,COMMONLABS,B2B,Media
19,COONY,B2C,Urgente
20,COSRX,B2B,Urgente
21,DAILY COMMA,B2B,Urgente
22,DEAR A,B2B,Media
23,DR.ALTHEA,B2B,Urgente
24,DR.MELAXIN,B2B,Urgente
25,ELIZA,B2B,Media
26,ELROEL,B2B,Media
27,EQQUALBERRY,B2B,Media
28,ESTHER FORMULA,B2B,Media
29,FILLIMILLI,B2C,Secundario
30,FOODOLOGY,B2B,Urgente
31,FRANKLY,B2B,Media
32,FULLY,B2C,Urgente
33,FURRIKY,B2B,Media
34,FWEE,B2B,Media
35,GLOW,B2B,Media
36,GROWUS,B2B,Media
37,HARUHARU WONDER,B2B,Media
38,HEIMISH,B2B,Media
39,HEVEBLUE,B2B,Media
40,IUNIK,B2B,Media
41,JUMISO,B2B,Media
42,K-SECRET,B2B,Secundario
43,KAHI,B2C,Urgente
44,KONJAC,B2B,Media
45,KUNDAL,B2B,Media
46,LILYEVE,B2B,Media
47,MADECA 21,B2B,Secundario
48,MANYO,B2B,Media
49,MARY&MAY,B2B,Media
50,MEDICUBE,B2B,Urgente
51,MEDIPEEL,B2B,Secundario
52,MEDITHERAPY,B2B,Secundario
53,MENOKIN,B2B,Media
54,MIXSOON,B2B,Urgente
55,MOEV,B2B,Media
56,NUMBUZIN,B2B,Media
57,OBGE,B2C,Urgente
58,PERIPERA,B2B,Media
59,PRELUDE,B2B,Media
60,PURITO,B2B,Media
61,PYUNKANG,B2B,Media
62,REJU-AL,B2B,Media
63,ROUND LAB,B2B,Urgente
64,SEAPURI,B2B,Media
65,SKIN1004,B2B,Urgente
66,SKYBOTTLE,B2B,Media
67,SOME BY MI,B2B,Media
68,SUNGBOON,B2B,Media
69,TIRTIR,B2B,Urgente
70,TOCOBO,B2B,Urgente
71,TORRIDEN,B2B,Secundario
72,UNLEASHIA,B2B,Secundario
73,VT COSMETICS,B2B,Urgente
74,WAKEMAKE,B2C,Secundario
