product_id,sku,height_cm,width_cm,depth_cm,weight_raw
1,758,,,,
2,310,,,,
3,316,,,,
4,369,,,,
5,636,,,,
6,23056,,,,
7,23070,,,,
8,23055,,,,
9,6137,,,,
10,16808,,,,
11,175,,,,
12,20041,,,,
13,8630,,,,
14,16998,,,,
15,16947,,,,
16,1716,16.5,4.6,4.7,100ml
17,1717,17.8,5.6,4.6,150ml
18,1721,10.0,4.5,4.5,30ml
19,1732,15.1,4.6,4.6,150ml
20,17067,,,,
21,17726,18.4,4.9,4.9,200ml
22,1743,18.0,5.0,5.1,200ml
23,1734,10.4,4.6,4.6,30ml
24,1735,5.6,7.4,7.5,50ml
25,1747,17.7,5.6,4.6,150ml
26,1738,18.3,5.1,4.1,120ml
27,1741,,,,
28,7769,16.8,5.5,5.5,250ml
29,1125,16.9,4.2,3.0,60ml
30,4746,17.0,11.0,,
31,8629,,,,
32,4759,17.3,15.6,4.5,"30ml,60ml,23ml"
33,4760,18.1,9.6,5.6,"200ml,150ml"
34,4745,17.0,11.0,,
35,8653,,,,
36,4757,8.6,5.1,3.1,18g
37,8654,,,,
38,4754,17.0,11.0,,
39,4749,17.0,11.0,,
40,4744,17.0,11.0,,
41,4747,17.0,11.0,,
42,4748,17.0,11.0,,
43,4742,9.8,8.0,2.1,51g
44,4743,12.6,8.0,1.5,27g
45,8628,,,,
46,4758,12.1,5.6,3.5,50ml
47,17074,,,,
48,16995,,,,
49,4739,16.7,5.4,5.4,250ml
50,4738,17.3,9.6,,
51,4737,15.3,9.8,,
52,4731,17.8,5.6,4.5,150ml
53,4734,8.9,5.5,3.7,30ml
54,4733,,,,
55,4732,10.3,3.2,2.0,10ml
56,1748,5.1,6.9,6.9,50ml
57,1705,15.3,4.6,4.6,150ml
58,1715,10.4,4.6,4.5,30ml
59,1157,14.7,4.0,2.5,30gr
60,1162,9.3,4.0,4.0,30ml
61,17727,16.9,5.4,5.4,250ml
62,1770,15.3,4.6,4.6,150ml
63,1771,11.0,4.9,4.9,40g
64,1772,11.9,3.8,3.9,50ml
65,17069,,,,
66,1701,10.0,4.5,4.5,30ml
67,17480,,,,
68,17456,,,,
69,17075,,,,
70,27500,,,,
71,27433,,,,
72,1739,12.8,6.4,3.1,50ml
73,18326,,,,
74,19498,,,,
75,19562,,,,
76,19585,,,,
77,19490,,,,
78,19513,,,,
79,19481,,,,
80,19567,,,,
81,19520,,,,
82,19531,,,,
83,8146,,,,
84,8149,,,,
85,8147,,,,
86,8162,,,,
87,8148,,,,
88,8142,,,,
89,8145,,,,
90,8144,,,,
91,8143,,,,
92,23705,,,,
93,23397,,,,
94,23464,,,,
95,23675,,,,
96,23431,,,,
97,23699,,,,
98,23466,,,,
99,8169,,,,
100,23709,,,,
101,23707,,,,
102,23751,,,,
103,23725,,,,
104,30023,,,,
105,29815,,,,
106,30021,,,,
107,30026,,,,
108,30022,,,,
109,30025,,,,
110,29608,,,,
111,26682,,,,
112,26794,,,,
113,8168,,,,
114,26737,,,,
115,26736,,,,
116,26804,,,,
117,26743,,,,
118,5355,,,,
119,627,,,,
120,614,,,,
121,599,,,,
122,604,,,,
123,613,,,,
124,3023,,,,
125,3103,,,,
126,3009,,,,
127,3045,,,,
128,3116,,,,
129,2855,,,,
130,3130,,,,
131,2952,,,,
132,1179,9.7,4.4,4.4,30ml
133,24381,11.7,4.9,4.9,60ml
134,1181,6.6,5.6,6.5,50ml
135,23044,17.0,5.0,5.0,150ml
136,1247,18.9,5.3,5.3,210ml
137,1252,9.7,4.4,4.4,30ml
138,24385,11.7,4.9,4.9,60ml
139,1639,16.9,5.1,5.2,150ml
140,1649,9.7,4.4,4.4,30ml
141,24383,11.7,4.9,4.9,60ml
142,1822,15.7,4.6,4.6,100ml
143,1845,7.0,9.4,8.5,150ml
144,2897,,,,
145,2917,16.0,3.2,2.6,30ml
146,3412,9.7,4.4,4.4,30ml
147,24384,11.7,4.9,4.9,60ml
148,448,5.9,8.9,8.9,30ml
149,27432,,,,
150,27421,,,,
151,27418,,,,
152,1974,8.9,4.3,2.5,18ml
153,2793,14.1,3.9,3.0,50ml
154,497,17.4,15.5,,
155,498,17.4,15.5,,
156,3516,17.4,15.5,,
157,3518,17.4,15.5,,
158,24388,,,,
159,24386,,,,
160,6269,,,,
161,3691,6.5,7.1,7.1,
162,3690,13.0,4.0,3.6,
163,3692,13.0,4.0,3.6,
164,3693,6.5,7.1,7.1,
165,3694,17.1,10.5,2.5,
166,3695,10.6,4.4,4.0,
167,3963,8.9,5.0,3.8,
168,3966,6.7,8.1,8.2,
169,3697,17.5,15.5,,
170,3698,10.0,13.0,,
171,3696,16.0,13.0,,
172,4004,,,,
173,4046,,,,
174,4048,,,,
175,4049,,,,
176,4006,,,,
177,4003,,,,
178,4047,,,,
179,3996,,,,
180,3995,,,,
181,4002,,,,
182,4000,,,,
183,3999,,,,
184,3998,,,,
185,3997,,,,
186,22715,6.6,1.9,2.0,
187,22739,6.6,1.9,2.0,
188,22318,5.4,3.7,1.5,
189,22405,5.4,3.7,1.5,
190,22434,5.4,3.7,1.5,
191,22316,5.4,3.7,1.5,
192,22701,7.1,2.2,2.2,
193,22702,7.1,2.2,2.2,
194,22740,5.4,5.3,2.4,
195,22743,5.4,5.3,2.4,
196,22764,5.4,5.3,2.4,
197,22766,5.4,5.3,2.4,
198,22767,5.4,5.3,2.4,
199,21972,9.2,1.6,1.6,
200,22437,7.1,2.2,2.2,
201,22663,7.1,2.2,2.2,
202,22666,7.1,2.2,2.2,
203,21952,9.6,2.0,1.5,
204,21974,9.7,2.0,1.6,
205,21988,9.7,2.0,1.6,
206,21991,9.7,2.0,1.6,
207,21969,14.5,1.8,1.3,
208,21971,14.5,1.8,1.3,
209,22711,7.1,2.1,2.1,
210,22712,7.1,2.1,2.1,
211,22713,7.1,2.1,2.1,
212,22714,7.1,2.1,2.1,
213,22709,7.1,2.1,2.1,
214,22708,7.8,2.1,2.1,
215,22706,7.8,2.1,2.1,
216,3599,10.6,4.2,4.2,30ml
217,21937,16.2,5.9,5.9,200ml
218,21938,13.7,5.5,5.5,150ml
219,21939,14.4,4.9,3.8,50ml
220,21897,7.9,8.1,8.2,125ml
221,21944,12.6,13.8,3.2,"20ml,10ml,10ml"
222,8551,,,,
223,21940,8.4,5.4,2.8,19g
224,8518,,,,
225,21943,20.9,15.0,,
226,21941,6.5,8.8,8.8,100ml
227,21942,12.4,6.2,3.2,50ml
228,8203,,,,
229,3605,17.0,4.1,4.1,155ml
230,21883,14.1,4.0,3.0,50ml
231,21885,18.5,12.5,,
232,3608,12.2,3.9,3.9,50ml
233,21864,17.2,5.1,5.1,150ml
234,3644,14.1,3.2,2.5,15ml
235,3650,12.5,3.8,3.9,30ml
