id,product_id,sku,ean,label_url
1,1,758,8809562559924,
2,2,310,8809292443210,
3,3,316,8809864768123,
4,4,369,8809562558514,
5,5,636,8809562559214,
6,6,23056,8809864752313,
7,7,23070,8809864762299,
8,8,23055,8800280691903,
9,9,6137,8800280692283,
10,10,16808,8800280690005,
11,11,175,8809864760615,
12,12,20041,,
13,13,8630,8800307379326,
14,14,16998,1111111111111,
15,15,16947,1111111111111,
16,16,1716,8809640737251,
17,17,1717,8809640735561,
18,18,1721,8809640736667,
19,19,1732,8809640734519,
20,20,17067,1111111111111,
21,21,17726,8809640732799,
22,22,1743,8809640732829,
23,23,1734,8809640730283,
24,24,1735,8809640730696,
25,25,1747,8809640734427,
26,26,1738,8809640733666,
27,27,1741,8809640733703,
28,28,7769,8809640730092,
29,29,1125,8809640738135,
30,30,4746,8800307377636,
31,31,8629,8800307377353,
32,32,4759,8800307376349,
33,33,4760,8800307376387,
34,34,4745,8800307377698,
35,35,8653,8800307378886,
36,36,4757,8800307376516,
37,37,8654,8800307378909,
38,38,4754,8800307377612,
39,39,4749,8800307377605,
40,40,4744,8800307377674,
41,41,4747,8800307377643,
42,42,4748,8800307377681,
43,43,4742,8800307376301,
44,44,4743,8800307376035,
45,45,8628,8800307377377,
46,46,4758,8800307376493,
47,47,17074,1111111111111,
48,48,16995,1111111111111,
49,49,4739,8800307371672,
50,50,4738,8800307373386,
51,51,4737,8800307373379,
52,52,4731,8800307372983,
53,53,4734,8800307374390,
54,54,4733,8800307373331,
55,55,4732,8800307374499,
56,56,1748,8809640734373,
57,57,1705,8809640734342,
58,58,1715,8809640733550,
59,59,1157,8809640734946,
60,60,1162,8809640734595,
61,61,17727,8809640735455,
62,62,1770,8809640735608,
63,63,1771,8809640735462,
64,64,1772,8809640734861,
65,65,17069,1111111111111,
66,66,1701,8809640739309,
67,67,17480,1111111111111,
68,68,17456,1111111111111,
69,69,17075,1111111111111,
70,70,27500,1111111111111,
71,71,27433,1111111111111,
72,72,1739,8809640733185,
73,73,18326,8800307372556,
74,74,19498,1111111111111,
75,75,19562,1111111111111,
76,76,19585,5017101634282,
77,77,19490,1111111111111,
78,78,19513,1111111111111,
79,79,19481,1111111111111,
80,80,19567,1111111111111,
81,81,19520,1111111111111,
82,82,19531,1111111111111,
83,83,8146,8809874683140,
84,84,8149,8809874685168,
85,85,8147,8809874683195,
86,86,8162,8809874685229,
87,87,8148,8809874683317,
88,88,8142,8809874682679,
89,89,8145,8809874682747,
90,90,8144,8809874682730,
91,91,8143,8809874682686,
92,92,23705,8809562192220,
93,93,23397,8809562190738,
94,94,23464,8809562191070,
95,95,23675,8809562191889,
96,96,23431,8809562190745,
97,97,23699,8809562191971,
98,98,23466,8809562190820,
